202;...2;...3;...4;codes;category;scheme;pre1;pre2;pre3;phrase;feature;subst;ar;regex;repl;regexcor;test;version;regxmean
18;18;18;78;#90 art;2;9;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art;test3;v2_9;7
19;19;19;79;90 art.;2;9;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;90 art\.;test3;v2_9;7
20;20;20;NA;#90 art.#;2;1;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art\.#;test3;v2_9;9
21;21;21;NA;#90 art#;2;1;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art#;test3;v2_9;8
22;22;22;NA;#9 0 art#;2;1;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#9 0 art#;test3;v2_9;9
23;23;23;NA;#0 art#;2;1;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#0 art#;test3;v2_9;7
24;24;24;NA;#90 art?#;2;1;%;0;AR;zero;article;%0AR: zero article;4;(prep 90 art#)|(90 art#)|(# 90 art\.)|(prep 90 art#)|(90 art#)|(90 art)|(90 art)|(90 art)|(#90 art)|(90 art\.)|(#90 art\.#)|(#90 art#)|(#9 0 art#)|(#0 art#)|(#90 art\?#)|(<#0AR#>)|(90  art);%#%;#90 art\?#;test3;v2_9;9
25;25;25;NA;#9nst art#;1;1;%;N;AR;nonstandard;article;%NAR: nonstandard article;5;(#9nst art#)|(<#NAR#>)|(9nst art);%#%;#9nst art#;test3;v2_9;10
26;26;26;NA;#90 aux #;2;1;%;0;AU;zero;auxiliary;%0AU: zero auxiliary;6;(#90 aux #)|(#90 aux\?#)|(90 aux);%#%;#90 aux #;test3;v2_9;9
27;27;27;NA;#9nst compar.#;1;1;%;N;CM;nonstandard;comparison;%NCM: nonstandard comparison;7;(#9nst compar\.#)|(#9nst compar#)|(#9nst compar#)|(9nst compar);%#%;#9nst compar\.#;test3;v2_9;14
28;28;28;NA;#9nst compar#;1;1;%;N;CM;nonstandard;comparison;%NCM: nonstandard comparison;7;(#9nst compar\.#)|(#9nst compar#)|(#9nst compar#)|(9nst compar);%#%;#9nst compar#;test3;v2_9;13
29;29;29;NA;#9nst conditional#;1;1;%;N;CN;nonstandard;conditional;%NCN: nonstandard conditional;8;(#9nst conditional#);%#%;#9nst conditional#;test3;v2_9;18
30;30;30;58;90 cop.;2;9;%;0;CP;zero;copula;%0CP: zero copula;9;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#)|(90 cop);%#%;90 cop\.;test3;v2_9;7
31;31;31;NA;#90 cop#;2;1;%;0;CP;zero;copula;%0CP: zero copula;9;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#)|(90 cop);%#%;#90 cop#;test3;v2_9;8
32;32;32;NA;#90 cop?#;2;1;%;0;CP;zero;copula;%0CP: zero copula;9;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#)|(90 cop);%#%;#90 cop\?#;test3;v2_9;9
33;33;33;NA;#9 0 cop#;2;1;%;0;CP;zero;copula;%0CP: zero copula;9;(90 cop\.)|(#90 cop#)|(#90 cop\?#)|(#9 0 cop#)|(90 cop);%#%;#9 0 cop#;test3;v2_9;9
34;34;34;NA;#9extra art#;1;1;%;N;EA;nonstandard;extra article;%NEA: nonstandard extra article;10;(#9extra art#);%#%;#9extra art#;test3;v2_9;12
35;35;35;NA;#9 0 existential#;2;1;%;0;EX;zero;existential;%0EX: zero existential;11;(#9 0 existential#)|(90 existential);%#%;#9 0 existential#;test3;v2_9;17
36;36;36;NA;#9nst existential#;1;1;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;12;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;#9nst existential#;test3;v2_9;18
37;37;37;NA;9nst ext#;1;9;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;12;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;9nst ext#;test3;v2_9;NA
38;38;38;NA;9nst ext#;1;1;%;N;EX;nonstandard;existential;%NEX: nonstandard existential;12;(#9nst existential#)|(9nst ext#)|(9nst ext#)|(9nst existential);%#%;9nst ext#;test3;v2_9;NA
39;39;39;11;# 9nst#;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;# 9nst#;test3;v2_9;7
40;40;40;22;# 9nst#;1;9;%;N;NS;nonstandard;not specified;%NNS: nonstandard not specified;13;(# 9nst#)|(# 9nst#)|(9nst)|(9nst)|(9nst)|(9nst\.)|(#9nst#)|(#9nst #)|(# 9nst#)|(#9nst)|(9wohl/woll);%#%;# 9nst#;test3;v2_9;7
